theme_id,label,shown,total
0000004126,Tématické skupiny,,15216
0000004127,"Ústavní orgány, ústřední úřady, jejich odborné organizace a zařízení",,15216
0000004128,Politická správa,,15216
0000004129,Finanční správa,,15216
0000004130,Samospráva,,15216
0000004131,Národní výbory,,15216
0000004132,Německá správa a organizace 1938 - 1945,,15216
0000004133,Justiční správa,,15216
0000004134,Vojenství,,15216
0000004135,Školy a školství,,15216
0000004136,"Spoje, doprava a sdělovací prostředky",,15216
0000004137,Rodinné archivy a osobní fondy,,15216
0000004138,Ústřední orgány majitelů velkostatků,,15216
0000004139,Velkostatky,,15216
0000004140,Státní lesy a statky,,15216
0000004141,Podniky,,15216
0000004142,Zdravotnická a sociální zařízení,,15216
0000004143,"Nemocenské, úrazové, penzijní pojišťovny a léčebné fondy",,15216
0000004144,Politické a odborové organizace,,15216
0000004145,Družstevní organizace,,15216
0000004146,Organizace a spolky do roku 1948,,15216
0000004147,Společenské organizace a krajanské spolky po roce 1948 a občanská sdružení po roce 1990,,15216
0000004148,Kulturní a vědecké ústavy a zařízení,,15216
0000004149,Církevní instituce,,15216
0000004150,Dobročinné ústavy a nadace,,15216
0000004151,Sbírky,,15216
0000004152,Registratury archivů,,15216
